u0,v0,u1,v1,u2,v2,u3,v3
93.0,89.0,76.0,88.0,92.5,72.0,75.5,71.5
93.0,89.0,75.5,88.0,93.0,72.0,75.5,71.5
93.0,89.0,75.5,88.0,93.0,72.0,75.5,71.5
93.0,89.0,76.0,88.0,93.0,72.0,75.5,71.5
93.5,89.0,76.0,88.0,93.0,72.0,75.5,71.5
94.0,89.0,76.0,88.0,93.0,72.0,76.0,71.0
94.0,89.0,76.0,88.0,93.0,72.0,76.0,71.0
94.0,88.5,76.0,88.0,93.0,72.0,76.0,71.0
94.0,88.5,76.0,88.0,93.0,72.0,76.0,71.0
94.0,88.5,76.0,88.0,93.0,72.0,76.0,71.0
94.0,89.0,76.0,88.0,93.0,72.0,76.0,71.0
94.0,89.0,76.5,88.0,93.0,72.0,76.0,71.0
94.0,88.5,76.5,88.0,93.0,72.0,76.0,71.0
94.0,88.5,77.0,88.0,93.5,72.0,76.0,71.0
94.0,89.0,77.0,88.0,93.5,72.0,76.0,71.0
94.0,89.0,77.0,88.0,93.5,72.0,76.0,71.0
94.0,89.0,77.0,88.0,93.5,72.0,76.0,71.0
94.0,89.0,77.0,88.0,93.5,72.0,76.0,71.0
94.0,89.0,77.0,88.0,93.5,72.0,76.0,71.0
94.0,89.0,77.0,88.0,93.5,72.0,76.0,71.0
94.0,89.0,77.0,88.0,93.5,72.0,77.0,71.0
94.0,89.0,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.5,88.5,77.0,88.0,94.0,72.0,77.0,71.0
94.0,88.0,77.0,88.0,94.0,72.0,77.0,71.0
94.0,88.0,77.0,88.0,94.0,72.0,77.0,71.0
94.0,88.0,77.0,88.0,94.0,72.0,77.0,71.0
94.0,88.0,77.0,88.0,93.5,71.5,77.0,71.0
94.0,88.0,77.0,88.0,93.5,71.5,77.0,71.0
94.0,88.0,77.0,88.0,93.5,71.5,77.0,71.0
94.0,88.0,77.0,88.0,93.5,71.5,77.0,71.0
94.0,88.0,77.0,88.0,93.5,71.5,77.0,71.0
94.0,88.0,77.0,88.0,93.5,71.5,76.0,71.0
94.0,88.0,77.0,88.0,93.5,71.5,76.0,71.0
94.0,88.0,77.0,87.0,93.5,71.5,76.5,71.0
94.0,88.0,77.0,87.5,93.5,71.5,76.0,71.0
94.0,88.0,76.5,87.5,93.5,71.5,76.0,71.0
94.0,88.0,76.5,87.5,93.5,71.5,76.0,71.0
94.0,88.0,76.5,87.5,93.0,71.0,76.0,71.0
94.0,88.0,76.0,87.0,93.0,71.0,76.0,71.0
94.0,88.0,76.0,87.0,93.0,71.0,76.0,71.0
94.0,88.0,76.0,87.0,93.0,71.0,76.0,71.0
94.0,88.0,76.0,87.0,93.0,71.0,76.0,71.0
94.0,88.0,76.0,87.0,93.0,71.0,75.0,71.0
93.0,88.0,76.0,87.0,93.0,71.0,75.0,71.0
93.0,88.0,76.0,87.0,92.0,71.0,75.0,71.0
93.0,88.0,75.0,87.0,92.0,71.0,75.0,71.0
93.0,87.5,75.0,87.0,92.0,71.0,75.0,71.0
93.0,87.5,75.0,87.0,92.0,71.0,75.0,71.0
92.5,87.5,75.0,87.0,91.5,71.0,75.0,71.0
92.0,87.5,75.0,87.0,91.5,71.0,75.0,71.0
92.0,87.0,75.0,87.0,91.5,71.0,75.0,71.0
92.0,87.0,75.0,87.0,91.5,71.0,74.5,71.0
92.0,87.0,75.0,87.0,91.5,71.0,74.5,71.0
92.0,87.0,74.0,87.0,91.0,71.0,74.0,70.5
92.0,87.0,74.0,87.0,91.0,71.0,74.0,70.5
92.0,87.0,74.0,87.0,91.0,71.0,74.0,71.0
92.0,87.0,74.0,87.0,91.0,71.0,74.0,70.5
91.0,87.0,74.0,87.0,91.0,71.0,74.0,70.5
91.0,87.0,74.0,87.0,90.5,71.0,74.0,70.5
91.0,87.0,74.0,87.0,90.0,71.0,74.0,70.0
91.0,87.0,73.5,86.5,90.0,71.0,73.0,70.0
91.0,87.0,73.5,86.5,90.0,71.0,73.0,71.0
90.0,87.0,73.0,87.0,89.5,71.0,73.0,71.0
90.0,87.0,73.0,87.0,89.0,71.0,72.5,70.5
90.0,87.0,72.0,87.0,89.0,71.0,73.0,71.0
90.0,87.0,72.0,87.0,89.0,71.0,72.0,70.0
89.0,87.0,72.0,86.5,89.0,71.0,72.0,70.5
89.0,87.0,72.0,86.5,89.0,71.0,72.0,70.0
89.0,87.0,72.0,86.0,88.5,71.0,72.0,70.0
89.0,87.0,71.5,86.5,88.0,70.5,72.0,70.0
89.0,87.0,71.5,86.5,88.0,70.5,71.0,70.0
88.0,87.0,71.5,86.5,88.0,70.5,71.0,70.0
88.0,86.5,71.5,86.5,88.0,70.5,71.0,70.0
88.0,86.5,71.0,86.0,88.0,70.5,71.0,70.0
88.0,87.0,71.0,86.0,87.0,70.5,70.5,70.0
88.0,87.0,71.0,86.0,87.0,70.5,70.0,70.0
87.5,86.5,70.5,86.0,87.0,70.0,70.0,70.0
87.5,86.5,70.0,86.0,86.5,70.0,70.0,70.0
87.0,86.5,70.0,86.0,86.0,70.0,70.0,70.0
87.0,87.0,70.0,86.0,86.0,70.0,70.0,70.0
86.0,86.0,70.0,86.0,86.0,70.0,70.0,70.0
86.0,86.0,70.0,86.0,85.5,70.0,70.0,70.0
86.0,86.0,69.5,86.0,85.5,70.0,69.5,70.0
86.0,86.0,69.0,86.0,85.0,70.0,69.0,70.0
85.0,86.0,69.0,86.0,85.0,70.0,68.0,70.0
85.0,86.0,68.0,86.0,84.0,70.0,68.0,70.0
85.0,86.0,68.0,86.0,84.0,70.0,68.0,70.0
85.0,86.0,68.0,86.0,84.0,70.0,68.0,70.0
