u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6,u7,v7
101.5,40.5,56.0,42.0,56.0,64.0,78.0,64.0,101.0,64.0,57.0,86.0,101.0,86.0,77.0,41.0
101.5,40.5,55.0,41.0,56.0,63.0,78.0,63.0,102.0,63.0,57.0,85.0,100.5,86.0,77.0,41.0
102.0,40.0,55.0,41.0,56.0,63.0,77.5,62.5,101.5,62.5,57.5,84.5,101.0,85.0,77.0,41.0
102.0,39.0,55.0,40.0,55.5,62.5,78.0,62.0,101.5,62.5,57.0,84.0,100.5,84.0,77.5,40.0
101.5,38.5,55.0,39.0,56.0,61.0,78.0,61.0,101.5,60.5,57.0,84.0,101.0,84.0,77.0,39.0
102.0,38.0,55.0,39.0,56.0,61.0,78.0,61.0,101.5,60.5,57.0,83.0,100.0,83.0,77.0,39.0
102.0,37.0,55.0,39.0,55.5,60.5,77.5,60.5,101.5,60.5,57.0,82.5,99.5,82.5,77.0,38.0
101.5,36.5,55.0,37.0,55.5,60.0,77.5,60.0,101.0,59.0,57.0,82.0,100.0,82.0,77.0,37.0
101.5,36.5,55.0,37.0,55.0,59.0,77.0,59.0,101.5,58.5,57.0,81.0,100.0,81.0,77.0,37.0
102.0,35.5,55.0,37.0,55.0,59.0,77.5,58.5,101.5,58.5,57.0,81.0,99.5,80.5,77.0,37.0
102.0,35.0,54.5,36.0,55.0,59.0,77.0,58.0,101.0,58.0,56.0,80.0,99.5,80.5,76.0,36.0
101.5,34.5,54.0,35.0,55.0,58.0,77.0,58.0,100.5,57.0,56.0,80.0,99.0,80.0,76.5,35.5
101.0,33.5,54.0,34.0,54.5,57.0,77.0,57.0,100.0,57.0,55.0,79.0,99.0,79.0,77.0,35.0
101.0,33.0,54.0,34.0,54.0,56.0,77.0,57.0,100.0,56.0,55.0,79.0,99.0,79.0,76.0,34.0
100.0,32.0,53.0,33.0,54.0,56.0,76.0,56.0,100.0,56.0,55.0,79.0,98.0,78.0,76.0,33.5
100.0,31.5,53.0,33.0,54.0,55.0,76.0,55.0,99.0,55.0,55.0,78.0,98.0,78.0,75.0,33.0
99.5,30.5,53.0,32.0,53.5,54.5,75.5,54.5,99.0,54.0,55.0,77.0,97.0,77.0,75.5,32.0
99.0,30.0,52.5,31.5,53.5,54.5,75.0,54.0,99.0,53.0,55.0,77.0,97.0,77.0,75.0,31.0
99.0,30.0,52.0,31.0,52.5,53.5,75.0,53.0,98.0,53.0,54.0,76.0,97.0,76.0,75.0,31.0
99.0,29.0,51.5,30.5,52.5,53.0,74.5,53.0,98.0,52.0,54.0,75.0,97.0,75.0,75.0,31.0
99.0,28.5,51.0,29.0,51.5,52.5,74.0,53.0,97.5,52.5,53.5,74.5,96.0,75.0,74.0,30.0
98.0,28.0,51.0,29.0,51.5,52.5,73.5,52.5,97.5,52.5,53.5,74.5,95.5,74.5,73.0,29.0
98.0,28.0,51.0,29.0,51.0,52.0,74.0,52.0,97.0,51.5,52.5,74.0,95.5,74.5,73.0,29.0
98.0,27.0,50.0,28.0,51.0,52.0,73.0,52.0,97.0,51.0,52.0,74.0,95.0,74.0,73.0,29.0
97.0,27.0,50.0,28.0,50.0,51.0,73.0,51.0,96.0,51.0,51.5,73.0,94.5,73.0,72.0,28.0
97.0,27.0,49.0,27.0,50.0,51.0,72.0,51.0,95.5,50.5,51.5,73.0,94.0,73.0,71.0,28.0
96.0,27.0,48.5,27.5,49.0,51.0,72.0,51.0,95.0,50.5,51.0,73.0,94.0,73.0,71.0,27.5
96.0,26.0,48.0,27.0,48.5,50.0,71.0,51.0,94.0,50.0,50.0,72.0,93.0,72.0,71.0,27.0
95.0,25.0,47.0,26.0,48.0,49.0,71.0,50.0,94.0,49.0,49.5,72.5,92.0,72.0,70.0,27.0
94.0,24.5,46.5,26.0,47.5,49.0,70.0,49.0,93.5,49.0,49.0,72.0,91.5,71.0,69.5,26.0
94.0,24.0,46.0,25.0,47.0,49.0,70.0,49.0,93.0,48.5,49.0,72.0,91.0,71.0,69.0,26.0
93.0,24.0,45.0,24.5,46.0,48.0,69.0,48.5,92.0,48.5,48.0,71.0,90.0,71.0,68.0,26.0
93.0,23.0,45.0,24.0,46.0,48.0,68.0,48.0,91.0,48.0,47.5,71.0,90.0,71.0,67.0,74.0
92.0,23.0,44.0,24.0,45.0,48.0,68.0,48.0,91.0,47.5,47.0,70.5,89.0,71.0,67.0,24.0
91.0,23.0,43.5,23.5,44.0,47.5,67.0,48.0,90.0,47.0,46.0,71.0,88.0,70.5,66.0,24.0
90.0,22.5,43.0,23.5,43.5,47.0,66.0,47.0,89.0,47.0,45.0,70.0,88.0,70.0,66.0,24.0
90.0,23.0,42.0,23.0,43.0,47.0,65.5,47.0,89.0,46.5,45.0,70.0,87.0,70.0,65.0,24.0
89.0,22.0,41.0,23.0,42.0,46.5,65.0,47.0,88.0,46.5,44.0,70.0,86.0,70.0,64.0,24.0
88.0,22.5,40.0,23.0,41.5,46.5,64.0,47.0,87.0,47.0,43.0,69.5,86.0,69.0,64.0,23.5
87.0,22.0,40.0,23.0,41.0,46.5,64.0,47.0,87.0,46.0,42.5,69.0,85.0,69.0,63.0,23.0
87.0,22.0,39.0,23.0,40.0,46.5,63.0,47.0,86.0,46.0,42.0,69.0,84.0,69.0,62.0,23.0
86.0,22.0,38.5,22.5,39.0,46.0,62.0,46.0,85.0,46.0,41.0,69.0,84.0,69.0,62.0,23.0
85.0,22.0,38.0,22.0,38.5,46.0,62.0,47.0,84.0,46.0,40.5,69.0,83.0,69.0,61.0,23.0
84.0,22.0,37.0,22.0,38.0,46.0,61.0,46.5,84.0,46.0,40.0,69.0,82.0,69.0,60.0,24.0
83.5,22.0,36.0,22.0,37.0,46.0,60.0,46.5,83.0,46.0,39.0,69.0,81.0,69.0,60.0,23.0
83.0,22.0,35.5,22.5,36.0,46.0,59.0,47.0,82.0,46.5,38.0,69.0,80.5,69.0,59.0,24.0
82.0,22.0,35.0,23.0,35.5,46.0,59.0,47.0,81.5,46.5,37.0,69.0,80.0,69.0,59.0,24.0
81.0,22.0,34.0,23.0,35.0,46.0,58.0,47.0,81.0,46.5,37.0,69.0,79.0,70.0,58.0,24.0
81.0,22.5,33.0,23.0,34.0,46.0,57.0,47.0,80.0,47.0,36.0,69.0,78.0,70.0,57.5,24.0
80.0,23.0,32.0,22.5,33.0,46.0,56.5,47.0,79.0,47.0,35.0,69.0,78.0,70.0,57.0,24.0
79.0,23.0,31.0,23.0,33.0,47.0,56.0,47.0,79.0,47.0,34.5,69.5,77.0,70.0,56.0,24.0
