u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
35.0,43.0,78.0,53.0,61.0,44.0,58.0,85.0,102.0,86.0,14.0,77.0
38.0,45.0,81.0,54.0,64.5,45.0,62.0,87.0,105.0,88.0,18.0,78.0
41.0,46.0,83.0,55.0,67.0,46.0,63.5,87.5,108.0,89.0,20.5,78.5
44.0,47.0,86.5,55.5,70.0,47.0,67.0,88.5,112.0,90.0,24.0,79.5
46.5,47.0,89.0,56.0,73.0,48.0,70.0,89.0,115.0,90.5,27.0,80.0
50.0,47.0,92.0,55.0,75.0,47.0,72.5,88.5,118.0,90.0,30.0,80.0
51.0,46.0,94.0,55.0,77.0,47.0,74.0,88.0,120.0,90.0,32.0,79.0
52.0,45.0,94.5,54.5,78.0,46.0,75.5,87.5,121.5,88.5,33.0,78.0
52.0,45.0,95.0,54.0,78.0,45.0,75.0,86.0,121.5,88.5,33.0,77.0
51.0,44.0,93.5,53.0,77.0,45.0,74.0,86.0,120.0,87.0,31.5,76.5
49.0,43.0,91.5,52.5,75.0,44.0,71.0,85.0,117.0,87.0,29.0,76.0
45.5,43.0,88.0,52.0,71.5,44.0,68.5,84.5,113.0,86.0,26.0,76.0
41.0,43.0,83.0,52.0,67.0,44.0,64.0,85.0,108.0,86.0,20.0,77.0
36.5,44.0,79.0,54.0,62.5,44.5,59.0,86.0,103.0,87.0,15.0,77.0
31.0,45.0,73.5,55.5,57.0,46.0,54.0,87.0,97.0,88.0,9.0,79.0
26.0,48.0,69.0,58.0,52.5,48.0,49.0,90.0,92.5,91.0,3.0,82.0
21.5,50.5,64.5,60.5,48.0,51.0,44.5,92.5,88.0,93.0,-2.0025023294544155,85.04691429682994
17.5,53.5,62.0,63.0,44.0,54.0,41.0,95.5,84.0,96.0,-5.87975005833529,88.02360048879693
14.5,57.5,59.225104292312196,65.96851390858994,41.5,56.0,38.5,98.5,81.0,99.0,-8.631743186642625,90.930058575901
13.0,60.0,57.0,69.0,36.5,92.5,36.0,101.0,79.00113443779932,101.42959539559968,-10.258481714376419,93.76628855814215
13.0,62.5,56.5,71.5,36.0,93.5,35.5,104.5,78.0,104.0,-10.759965641536674,96.53229043552034
13.0,65.0,57.0,73.0,36.0,94.5,35.5,107.0,78.0,107.0,-10.213562550003932,99.13175419565819
14.0,66.0,58.0,74.5,36.5,95.0,36.0,108.0,79.0,108.0,-9.083477931061479,100.98681976429117
17.0,67.0,60.0,75.0,37.5,95.5,38.5,109.0,81.0,109.0,-7.447079366589859,102.00117712904182
19.0,67.0,62.0,75.0,44.0,66.0,40.5,109.0,83.5,109.5,-5.304366856589072,102.17482628991017
21.5,65.5,64.5,74.5,40.0,95.0,43.0,108.0,87.0,109.0,-2.655340401059119,101.50776724689624
24.5,64.5,67.0,73.0,50.0,64.0,46.5,106.5,89.5,107.5,0.5,100.0
27.5,62.0,69.5,71.0,42.5,93.5,49.5,103.5,92.5,105.5,4.0,97.5
30.0,59.0,72.0,68.0,33.0,125.0,52.0,101.0,95.5,102.5,7.0,93.5
33.0,56.0,74.5,65.0,33.0,125.0,54.5,97.5,98.0,99.0,10.0,90.0
34.0,52.0,76.5,61.5,60.0,52.0,57.0,94.0,100.5,95.5,12.5,86.0
35.5,48.5,78.0,58.0,61.0,49.0,58.5,90.0,102.0,91.5,14.0,82.0
36.5,45.0,79.0,55.0,62.5,46.0,59.5,87.0,103.0,88.0,15.0,78.0
36.5,42.0,79.0,52.0,63.0,43.0,60.0,84.0,103.5,85.5,15.5,75.5
36.0,40.0,79.0,50.0,64.0,41.0,60.0,82.0,103.5,83.5,16.0,73.0
36.5,39.0,79.0,49.5,63.0,40.0,60.0,81.5,104.0,82.0,16.0,73.0
36.0,39.0,79.0,49.0,63.0,40.0,60.0,81.0,103.5,82.0,16.0,73.0
36.0,40.5,78.5,50.0,62.0,41.0,59.5,83.0,103.0,83.0,15.0,74.0
36.5,42.5,78.5,52.0,63.0,44.0,59.5,85.0,104.0,86.0,15.0,76.0
37.0,45.5,80.0,55.0,63.5,46.0,60.0,87.5,104.0,88.0,16.0,79.0
