u0,v0
33.5,62.5
34.0,64.0
34.0,64.0
34.0,66.0
34.0,66.0
34.0,67.0
34.0,67.0
35.0,68.0
35.0,68.0
35.0,69.0
35.5,68.5
35.5,68.5
36.0,68.0
36.0,68.0
36.0,68.0
36.0,68.0
36.5,67.0
37.0,67.0
36.5,66.0
37.0,65.0
37.0,64.5
37.0,64.0
37.0,63.0
37.0,62.0
37.0,61.0
37.0,59.0
37.0,58.0
37.5,56.5
37.0,55.0
37.5,53.0
37.5,52.0
38.0,50.0
37.5,48.5
38.0,46.5
38.0,45.0
38.0,43.0
38.0,41.0
38.0,39.0
38.0,37.5
38.0,36.0
38.0,34.0
38.0,32.0
38.0,30.0
38.0,28.0
39.0,27.0
39.0,25.0
38.5,24.0
39.0,23.0
39.0,21.0
39.5,20.0
40.0,19.0
40.0,18.0
40.0,17.5
40.0,17.0
40.0,16.0
40.5,16.0
41.0,16.0
41.0,16.0
41.0,16.0
42.0,16.0
42.0,16.0
42.0,17.0
42.5,18.0
43.0,18.0
43.0,19.0
43.0,20.0
44.0,21.0
44.0,23.0
44.0,24.0
45.0,26.0
45.0,27.0
46.0,29.0
46.0,31.0
47.0,33.0
47.0,35.0
47.0,38.0
48.0,39.0
48.0,41.5
49.0,43.5
49.0,46.0
49.0,48.0
50.0,50.5
50.0,53.0
50.0,55.0
51.0,57.0
51.0,60.0
51.0,62.0
52.0,63.0
52.0,65.0
52.0,67.0
52.0,69.0
53.0,70.0
54.0,72.0
54.0,73.0
54.0,75.0
55.0,76.0
55.0,77.0
55.0,78.0
56.0,80.0
56.0,80.0
56.0,81.0
56.5,81.5
57.0,82.0
56.5,82.0
58.0,83.0
58.0,83.0
58.0,83.0
58.5,83.0
58.5,82.0
59.0,82.0
59.0,81.5
60.0,81.0
60.0,80.0
60.5,79.5
60.5,78.5
61.0,77.0
61.0,76.0
62.0,75.0
62.0,73.0
62.0,72.0
63.0,70.0
63.0,68.0
63.5,66.5
64.0,64.5
64.0,62.5
65.0,60.0
65.0,58.0
65.0,56.0
66.0,53.5
66.0,51.5
66.5,48.5
67.0,46.0
68.0,44.0
68.0,41.0
68.5,38.5
69.0,36.0
70.0,34.0
70.0,32.0
71.0,29.0
71.0,27.0
72.0,25.0
72.0,22.0
73.0,20.5
74.0,19.0
74.0,17.0
75.0,16.0
75.0,14.5
76.0,14.0
76.0,13.0
77.0,12.0
77.5,11.0
78.0,11.0
79.0,11.0
79.0,11.0
80.0,12.0
81.0,12.5
81.0,14.0
82.0,15.0
82.0,16.0
82.0,17.5
83.0,19.5
83.0,21.0
83.5,23.5
84.5,26.0
85.0,29.0
85.0,31.0
86.0,34.0
86.5,37.0
87.0,40.0
87.0,43.0
87.0,46.0
88.0,49.0
88.0,53.0
88.0,56.0
88.0,59.0
89.0,62.0
89.0,65.0
89.0,68.0
90.0,72.0
90.0,75.0
91.0,77.5
91.0,80.0
92.0,83.0
92.0,85.0
92.0,88.0
92.0,90.0
93.0,92.5
93.0,95.0
94.0,97.0
94.0,98.5
94.0,100.0
95.0,102.0
95.5,103.0
96.0,105.0
97.0,106.0
