u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
40.5,63.5,63.0,63.0,84.5,63.5,63.0,85.0,62.0,42.0
41.0,64.0,62.5,63.5,84.5,63.5,63.0,85.0,62.5,42.0
42.0,63.0,63.0,63.5,85.0,63.5,63.0,85.0,63.0,41.0
42.5,63.5,64.0,63.5,86.0,63.5,64.0,85.0,64.0,41.5
42.5,63.5,64.0,64.0,87.0,63.5,64.5,85.5,64.5,41.5
43.5,63.5,65.0,64.0,88.0,63.0,65.0,85.5,65.5,41.5
44.0,64.0,66.0,63.5,88.5,63.0,66.5,85.0,66.0,41.0
45.0,63.5,66.5,63.5,88.5,63.5,67.0,85.0,66.5,41.5
46.0,63.0,67.5,63.5,90.0,63.0,67.0,85.0,67.0,41.0
46.0,63.0,68.0,63.0,90.0,63.5,68.0,85.0,68.5,41.5
46.5,63.5,68.0,63.0,91.0,63.0,68.0,85.0,68.5,41.5
47.5,63.5,69.0,63.0,92.0,63.0,68.5,85.0,69.5,41.5
48.0,63.0,70.0,63.0,92.0,63.0,70.0,85.0,70.0,41.0
48.5,63.5,70.0,63.0,92.5,62.5,70.5,84.5,70.0,42.0
49.0,63.5,70.0,63.0,93.5,63.5,70.5,84.5,71.0,42.0
50.0,63.0,71.5,63.5,94.0,63.0,71.0,85.0,71.0,42.0
50.0,63.0,72.0,63.0,94.5,63.5,72.0,85.0,72.0,41.0
50.5,63.0,72.5,63.5,95.5,63.5,72.5,85.5,73.0,41.5
51.5,63.5,73.5,63.5,95.5,63.5,73.5,85.5,73.5,41.5
52.0,63.0,73.5,63.5,96.0,63.0,74.0,85.0,73.0,42.0
52.0,63.0,74.0,63.0,96.5,62.5,74.0,85.0,74.0,42.0
52.0,63.0,75.0,63.0,97.0,63.0,74.5,84.5,74.0,42.0
53.0,63.0,75.0,63.0,97.5,63.5,75.0,85.0,75.0,42.0
53.5,63.5,75.0,63.0,98.0,63.0,75.5,85.5,75.5,41.5
53.5,63.5,75.5,63.5,98.0,63.0,75.5,85.5,76.0,41.0
54.0,63.0,75.5,63.5,98.0,63.0,76.0,85.0,75.0,42.0
54.0,63.0,76.0,63.0,98.5,63.0,76.0,85.0,75.0,42.0
54.0,63.0,76.0,63.0,99.0,63.0,76.0,85.0,75.5,42.0
54.0,63.0,76.0,63.0,99.0,63.0,76.0,85.0,76.0,41.5
54.0,63.0,76.0,63.0,99.5,63.5,76.0,85.0,76.0,41.0
54.0,63.0,76.0,63.0,99.5,63.5,76.0,85.0,76.0,41.0
54.0,63.0,76.0,63.0,99.5,63.5,76.0,85.0,76.0,41.0
54.0,63.0,76.0,63.0,99.5,63.5,76.0,85.0,76.0,41.0
