u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
48.0,51.0,69.5,51.5,91.5,51.0,69.5,73.0,69.5,29.0
46.5,51.0,68.0,51.0,90.5,51.0,68.5,73.0,68.5,28.5
45.5,51.0,67.0,51.0,89.0,51.0,67.5,73.0,67.0,29.0
44.5,51.0,66.0,51.0,88.5,51.0,66.0,73.0,66.5,28.5
43.5,51.0,65.0,51.0,87.0,51.0,65.5,73.0,65.0,29.0
42.5,51.0,64.0,51.0,86.0,51.0,64.5,73.0,64.0,29.0
41.5,51.0,64.0,51.5,86.0,51.0,64.0,73.0,63.0,29.0
40.5,51.0,62.5,51.0,84.5,51.0,62.0,73.0,62.0,29.0
40.0,51.0,62.0,51.0,84.0,51.0,61.0,73.0,61.0,29.0
38.0,51.0,60.5,51.5,82.5,51.0,60.5,73.0,60.0,29.0
37.0,51.0,59.5,51.5,82.0,51.0,60.0,73.0,60.0,29.0
36.0,51.0,57.5,51.5,80.5,51.5,58.0,73.0,58.0,29.0
35.0,52.0,57.0,52.0,79.0,52.0,58.0,73.0,57.0,29.0
34.0,52.0,56.0,52.0,78.5,52.5,56.5,74.0,56.0,29.0
32.0,52.0,55.5,52.5,78.0,52.0,55.0,74.5,54.5,30.0
31.0,52.0,54.0,53.0,76.0,53.0,54.0,75.0,53.0,30.0
29.0,54.0,53.0,54.0,75.0,54.0,52.0,76.0,51.5,31.0
27.5,54.5,51.5,54.5,74.0,55.0,51.0,77.0,51.0,32.0
27.0,55.0,51.0,56.0,73.0,56.0,51.0,78.0,49.0,33.0
26.0,56.0,49.5,56.5,72.0,57.0,49.0,79.0,49.0,35.0
26.0,57.0,49.0,58.0,71.0,58.0,49.0,80.0,49.0,35.0
25.5,58.5,49.0,59.0,71.0,59.0,48.0,81.0,48.0,37.0
25.0,60.0,48.0,60.0,70.5,60.0,48.0,83.0,48.0,38.0
25.0,61.0,48.0,61.0,70.0,61.0,48.0,84.0,47.0,39.0
25.0,63.0,48.0,62.0,70.5,62.5,48.0,85.0,47.5,41.0
25.0,63.0,48.0,63.0,70.0,63.5,47.5,85.5,48.0,42.0
25.0,64.0,49.0,64.0,71.0,64.0,48.0,86.0,48.0,43.0
25.5,65.5,49.0,65.0,71.0,65.5,48.5,87.5,48.5,44.0
26.0,66.0,49.0,66.0,71.0,66.0,48.0,88.0,49.0,44.0
26.5,67.0,50.0,67.0,72.0,67.0,49.0,90.0,49.5,46.0
28.0,68.0,50.0,68.0,72.5,68.0,50.0,90.0,50.0,47.0
28.0,69.0,51.0,69.0,73.0,69.0,50.5,90.5,35.5,80.0
