u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
47.0,67.0,68.5,67.5,91.5,67.5,68.5,89.5,68.5,46.0
46.0,67.0,68.0,67.0,90.0,67.0,68.5,89.5,68.0,46.0
46.0,66.5,68.0,67.0,90.0,67.0,67.0,89.0,67.0,45.0
45.0,66.0,67.0,66.0,89.0,66.0,67.0,88.5,66.5,44.5
44.0,66.0,66.0,66.0,89.0,66.0,66.0,88.0,66.0,44.0
42.5,66.0,65.0,66.0,88.0,66.0,65.0,88.0,65.0,44.0
42.0,66.0,64.0,66.0,87.5,65.5,64.0,88.0,64.0,44.0
42.0,65.5,63.5,65.5,85.5,65.5,64.0,88.0,63.0,44.0
41.0,66.0,63.0,65.5,85.5,65.5,63.0,87.0,63.0,43.0
41.0,65.0,63.0,65.0,85.0,66.0,63.0,87.0,62.5,43.5
40.0,65.0,62.5,65.0,84.0,65.0,62.5,87.0,62.0,43.0
39.0,65.0,62.0,65.0,84.0,65.0,61.5,87.0,62.0,43.0
39.0,65.0,61.0,65.0,83.0,65.0,61.0,87.0,60.0,44.0
38.0,65.0,60.0,65.0,82.5,65.0,60.0,87.0,60.0,44.0
37.0,65.0,60.0,65.0,82.0,65.0,59.0,87.0,55.0,77.5
36.5,65.0,59.0,65.0,81.0,65.0,58.5,87.0,58.0,43.0
36.0,65.0,58.0,65.0,80.5,65.0,58.0,87.0,58.0,43.0
35.0,64.5,57.5,65.0,80.0,65.0,57.0,87.0,57.0,43.0
34.5,64.5,57.0,65.0,78.5,65.0,56.5,87.0,56.0,43.0
34.5,64.5,57.0,65.0,78.5,65.0,56.0,87.0,56.0,43.0
34.0,65.0,56.5,64.5,78.0,65.0,56.0,87.0,56.0,43.0
34.0,65.0,56.5,65.0,78.0,65.0,56.0,87.0,56.0,44.0
34.0,65.0,56.0,65.0,78.0,65.0,56.0,87.0,55.0,44.0
33.5,65.0,55.5,65.5,78.0,65.0,55.0,87.5,55.0,44.0
33.0,65.0,55.5,65.5,77.0,66.0,55.0,87.5,55.0,44.0
33.0,66.0,55.0,65.5,77.0,65.5,55.0,87.5,55.0,43.5
33.0,65.5,55.0,66.0,77.0,65.5,55.0,88.0,55.0,44.0
33.0,66.0,55.0,65.5,77.0,66.0,55.0,88.0,55.0,44.0
33.0,66.0,55.0,65.5,77.0,66.0,55.0,88.0,55.0,44.0
33.0,66.0,55.0,66.0,77.0,66.0,55.0,88.0,55.0,44.5
33.0,66.0,55.0,66.0,77.0,66.0,55.0,88.0,54.5,45.0
33.0,66.0,55.0,66.0,77.0,66.0,55.0,88.0,54.5,45.0
33.0,66.0,56.0,67.0,77.0,67.0,55.0,88.0,55.0,45.0
34.0,67.0,56.0,67.0,78.0,66.5,56.0,89.0,55.0,46.0
34.0,67.0,56.5,66.5,78.0,67.0,56.0,89.0,56.0,46.0
34.0,67.0,56.0,67.0,78.5,67.0,56.0,89.0,53.5,79.0
34.5,67.0,57.0,67.0,79.0,67.0,57.0,89.0,56.5,46.0
35.0,67.0,58.0,67.0,79.5,67.5,57.5,89.5,57.0,46.0
36.0,67.0,58.5,67.5,80.5,67.5,58.5,89.5,57.0,46.0
36.5,67.5,58.5,67.5,80.5,67.5,58.5,89.5,58.0,46.0
37.0,67.0,59.5,67.5,81.0,67.0,59.0,89.0,59.0,46.0
38.0,67.0,60.5,67.5,82.0,67.0,60.0,89.0,60.0,45.5
38.5,67.5,60.5,67.5,83.0,68.0,60.5,89.5,60.0,46.0
39.0,67.5,62.0,67.0,83.5,67.5,61.5,89.5,61.0,46.0
40.5,67.0,62.0,67.0,84.0,67.0,62.0,89.0,62.0,45.0
41.0,67.0,62.5,66.5,84.5,66.5,62.5,88.5,62.0,46.0
41.0,67.0,62.5,66.5,85.0,67.0,62.5,88.5,62.0,45.5
41.5,66.5,63.0,67.0,85.0,67.0,63.0,88.5,62.0,45.5
42.0,66.0,64.0,66.5,86.0,66.0,63.0,88.5,64.0,44.5
42.0,66.0,64.0,66.0,88.0,66.0,64.0,88.0,64.0,44.5
43.0,66.0,65.0,66.0,88.0,66.0,65.0,88.0,65.0,44.0
43.5,65.5,66.0,65.5,89.0,66.0,66.0,88.0,66.0,44.0
44.5,65.5,66.5,65.5,89.0,65.5,66.5,87.5,66.0,44.0
45.0,65.0,67.5,65.5,90.0,65.0,67.0,87.5,67.5,43.5
46.0,65.0,68.0,65.0,90.0,65.0,68.0,87.0,68.0,43.0
46.5,64.5,68.5,64.5,91.0,64.0,68.5,86.5,68.0,43.0
47.0,64.0,69.0,64.0,92.0,64.0,69.0,86.0,69.0,42.0
47.0,64.0,69.5,63.5,92.5,64.0,69.5,85.5,69.0,42.0
48.0,63.0,70.0,63.0,93.0,63.0,70.0,85.0,70.0,41.0
49.0,63.0,70.5,62.5,93.0,63.0,70.5,84.5,70.0,41.0
49.0,62.5,71.0,62.5,94.0,62.0,71.0,84.5,70.0,41.0
50.0,62.0,71.0,62.0,94.0,62.0,71.5,84.0,70.0,40.0
50.0,62.0,72.0,61.0,94.5,61.0,72.0,84.0,70.0,40.0
50.0,61.5,72.0,61.0,95.0,61.5,72.0,83.5,72.0,39.0
51.0,61.0,73.0,61.5,96.0,61.0,73.0,83.0,73.0,39.0
51.0,60.0,73.0,61.0,96.0,61.0,73.0,83.0,73.0,38.5
51.0,60.0,73.0,60.0,96.0,60.0,73.0,82.0,73.0,39.0
51.0,60.0,73.0,60.0,96.0,60.0,73.0,82.0,73.0,38.0
51.0,60.0,73.0,60.0,96.0,60.0,73.0,82.0,73.0,38.0
51.5,59.5,73.5,59.5,96.0,59.0,73.5,81.5,73.0,38.0
51.5,59.5,73.5,59.5,96.0,59.0,73.5,81.5,73.0,37.5
52.0,59.0,73.5,59.0,97.0,59.0,74.0,81.0,73.0,37.0
52.0,59.0,73.5,59.0,96.5,59.0,74.0,81.0,73.0,37.0
