u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
42.0,61.5,64.0,61.5,86.0,61.0,63.5,83.5,63.0,40.0
42.0,62.0,64.0,61.5,86.0,61.5,64.0,83.5,57.0,76.0
42.0,62.0,64.0,61.0,86.5,61.5,64.0,83.5,57.0,76.0
42.0,62.0,64.0,61.5,87.0,61.0,64.5,83.5,50.5,112.0
43.0,62.0,65.0,61.0,87.5,61.5,65.0,83.5,51.0,112.0
43.5,61.5,65.5,61.5,87.5,61.5,65.5,83.5,57.5,76.0
43.5,61.5,65.5,61.5,87.5,61.5,65.5,83.5,51.0,112.0
44.0,61.0,66.0,61.5,89.0,61.0,67.0,83.0,66.0,39.0
44.5,61.5,66.5,61.5,89.0,61.0,67.0,83.0,66.5,39.5
45.0,62.0,66.5,61.5,89.0,61.5,67.0,83.0,66.5,39.5
45.0,61.5,67.0,61.5,89.5,61.5,67.0,83.0,67.0,40.0
45.5,61.5,67.5,61.5,89.5,61.5,67.0,83.0,67.0,40.0
46.0,61.0,68.0,61.0,89.5,61.5,67.5,83.0,67.0,40.0
46.0,61.0,68.0,61.0,90.0,61.0,68.0,83.0,59.5,76.0
46.0,61.0,68.0,61.0,90.0,61.0,68.0,83.0,52.0,112.0
46.0,61.0,68.0,61.0,91.0,61.0,68.0,83.0,68.0,40.0
47.0,61.0,68.0,61.0,91.5,61.5,68.0,83.0,68.0,40.0
47.0,61.0,69.0,61.0,92.0,61.0,68.5,83.0,68.0,40.0
47.0,61.0,69.0,61.0,92.0,61.0,68.5,83.0,68.0,40.0
47.5,61.5,70.0,61.0,92.0,61.0,69.0,83.0,69.0,40.0
48.0,61.0,70.0,61.0,92.0,61.0,70.0,83.0,69.0,40.0
48.0,61.0,70.0,61.0,92.0,61.0,70.0,83.0,70.0,39.0
48.0,61.0,70.0,61.0,92.5,60.5,70.0,83.0,69.5,39.5
48.0,61.0,70.0,61.0,92.5,60.5,70.0,83.0,70.0,40.0
48.5,60.5,70.0,61.0,92.5,60.5,70.0,83.0,70.0,40.0
48.0,61.0,70.0,61.0,93.0,61.0,70.5,82.5,70.0,39.0
48.5,60.5,70.0,61.0,93.0,61.0,70.5,82.5,70.0,39.0
48.5,60.5,70.5,60.5,93.0,61.0,70.5,82.5,70.0,39.0
48.5,60.5,70.5,60.5,94.0,61.0,70.5,82.5,70.0,40.0
48.5,60.5,70.5,60.5,94.0,61.0,70.5,82.5,70.0,40.0
48.5,60.5,70.5,60.5,94.0,61.0,70.5,82.5,70.0,40.0
48.5,60.5,70.5,60.5,94.0,61.0,70.5,82.5,70.0,39.0
48.5,60.5,70.5,60.5,94.0,61.0,70.5,82.5,70.0,39.0
48.5,60.5,70.5,60.5,93.0,60.5,70.5,82.5,70.0,39.0
48.5,60.5,70.5,60.5,93.5,60.5,70.5,82.5,70.0,39.0
48.5,60.5,70.5,60.5,93.0,60.0,70.5,82.5,70.0,39.0
48.0,61.0,70.5,60.5,93.0,60.0,70.5,82.5,70.0,39.0
48.0,60.5,70.0,60.5,93.0,60.0,70.5,82.5,69.0,39.5
48.0,61.0,70.5,60.5,92.5,60.5,70.0,82.0,69.0,39.5
48.0,60.5,70.0,60.5,92.5,60.5,70.0,82.0,69.0,39.0
48.0,60.0,70.0,60.0,92.0,60.0,70.0,82.0,70.0,38.0
47.5,60.0,70.0,60.0,92.0,60.0,70.0,82.0,69.0,39.0
47.0,60.5,69.0,61.0,92.0,60.0,69.0,82.0,69.0,39.0
46.5,60.5,69.0,61.0,92.0,60.0,69.0,82.0,68.5,38.5
46.5,60.5,68.5,60.5,92.0,60.0,68.5,82.5,68.0,39.0
46.0,60.0,68.5,60.5,91.0,60.0,68.0,82.0,68.0,39.5
46.0,60.0,68.0,60.0,90.0,61.0,68.0,82.0,67.5,38.0
46.0,60.0,67.5,60.0,90.0,60.0,68.0,82.0,67.0,38.0
45.5,60.0,67.0,60.0,90.0,60.0,67.0,82.0,67.0,38.0
45.0,60.0,67.0,60.0,89.0,60.0,67.0,82.0,67.0,38.0
44.0,60.0,66.5,60.5,89.0,60.0,66.5,82.5,66.5,38.0
44.0,60.0,66.5,60.5,89.0,60.0,66.0,82.0,66.0,37.0
43.0,60.0,66.0,60.0,88.0,60.0,66.0,82.0,65.5,38.0
43.0,60.0,66.0,60.0,88.0,60.0,66.0,82.0,65.0,38.0
43.0,60.0,65.0,60.0,88.0,60.0,65.0,82.0,65.0,37.0
42.0,60.0,65.0,60.0,87.0,60.0,65.0,82.0,64.0,38.0
42.0,60.0,64.5,60.0,87.0,60.0,65.0,82.0,64.0,38.0
42.0,59.0,64.0,60.0,86.0,59.0,63.5,82.0,63.0,38.0
41.5,59.5,63.0,60.0,85.5,59.5,63.0,82.0,63.5,37.5
41.5,59.5,63.0,60.0,85.0,60.0,63.0,82.0,63.0,37.0
41.0,59.5,63.0,60.0,85.0,60.0,63.0,82.0,63.0,37.0
40.5,59.5,63.0,60.0,85.0,59.5,63.0,82.0,62.0,38.0
41.0,59.0,63.0,60.0,85.0,60.0,63.0,82.0,56.5,75.0
40.0,59.0,63.0,59.5,85.0,59.0,62.5,82.0,61.0,38.0
40.0,59.5,62.5,60.0,85.0,59.0,62.0,82.0,62.0,37.0
39.5,59.5,62.0,60.0,84.0,59.0,62.0,81.5,62.0,37.0
39.5,59.5,61.5,59.5,84.0,59.0,61.5,81.5,62.0,37.0
39.0,59.0,61.5,59.5,84.0,59.0,61.5,81.5,61.0,37.0
39.0,59.0,61.5,59.5,83.5,59.5,61.5,81.5,61.0,37.5
39.0,59.0,61.5,59.5,83.5,59.5,61.5,81.5,61.0,37.0
39.0,59.0,61.5,59.5,83.0,59.0,61.0,81.0,61.0,37.0
38.5,59.0,61.0,59.0,83.0,59.0,61.0,81.0,61.0,37.0
38.5,59.0,61.0,59.0,83.0,59.0,60.5,81.5,61.0,37.0
38.5,59.0,61.0,59.0,83.0,59.0,60.5,81.5,60.0,37.0
38.5,59.0,61.0,59.0,83.0,59.0,60.5,81.5,60.0,37.0
38.0,59.0,61.0,59.0,83.0,59.0,60.5,81.5,60.0,37.0
38.0,59.0,60.5,59.0,83.0,59.0,60.5,81.5,60.0,37.0
38.5,59.0,60.5,59.0,83.0,59.0,60.0,81.0,60.0,37.0
38.5,59.0,61.0,59.0,83.0,59.0,60.0,81.0,60.0,37.0
38.5,59.0,61.0,59.0,83.0,59.0,60.0,81.0,60.0,37.0
38.5,58.5,61.0,59.0,83.0,59.0,60.5,80.5,60.0,37.0
38.5,58.5,61.0,59.0,83.0,59.0,60.5,80.5,60.5,37.0
38.5,58.5,61.0,59.0,83.0,59.0,61.0,81.0,61.0,36.5
39.0,59.0,61.0,59.0,83.0,59.0,61.0,81.0,61.0,36.0
39.0,59.0,62.0,59.0,84.0,59.0,61.5,80.5,61.5,36.0
39.5,58.5,62.0,59.0,84.0,58.0,62.0,80.0,62.0,36.0
40.0,58.0,62.0,58.5,84.0,58.5,62.0,80.0,62.0,36.0
40.0,58.5,62.0,59.0,84.5,58.5,62.0,80.0,62.0,36.5
40.5,58.5,62.5,58.5,84.5,58.5,63.0,80.0,62.0,38.0
40.5,58.5,62.5,58.5,84.5,58.5,63.0,80.0,62.0,38.0
40.5,58.5,62.5,58.5,84.5,58.5,63.0,80.0,62.0,38.0
41.0,58.0,63.0,58.0,84.5,58.5,63.0,80.0,62.0,37.0
41.0,58.0,63.0,58.0,85.0,58.0,63.0,80.0,63.0,37.0
41.5,58.0,63.0,58.0,85.0,58.0,63.0,80.0,63.0,36.5
42.0,58.0,63.0,58.0,85.0,58.0,63.0,80.0,63.0,36.5
42.0,58.0,64.0,58.0,86.0,58.0,63.5,80.0,63.0,36.0
42.5,58.5,64.5,58.0,86.5,58.0,64.0,80.0,63.0,36.0
43.0,58.0,64.0,58.0,87.0,58.0,64.5,79.5,64.5,36.0
43.0,58.0,65.0,58.0,87.0,58.0,64.5,79.5,64.5,36.0
43.0,58.0,66.0,58.0,88.0,58.0,65.0,79.0,64.5,36.0
43.0,58.0,66.0,58.0,88.0,58.0,65.5,79.5,65.0,36.0
44.0,58.0,66.0,58.0,88.0,58.0,65.5,79.5,65.0,36.0
45.0,58.0,66.5,58.5,88.5,58.5,66.5,79.5,66.0,37.5
45.0,58.0,66.5,58.5,89.0,58.0,67.0,80.0,66.0,37.0
45.0,58.0,67.0,58.0,89.0,58.0,67.0,80.0,67.0,36.0
46.0,58.0,67.0,58.0,89.5,57.5,67.0,80.0,67.0,36.0
46.0,58.0,68.0,58.0,89.0,58.0,67.0,80.0,67.0,36.0
46.0,58.0,68.0,58.0,90.0,57.5,67.0,80.0,67.0,36.0
46.0,58.0,68.0,58.0,90.5,58.0,68.0,80.0,68.0,36.0
46.0,58.0,68.0,58.0,91.0,57.5,68.5,79.5,68.0,36.0
47.0,58.0,68.5,58.0,91.5,57.5,68.0,80.0,69.0,36.0
47.0,58.0,69.0,58.0,91.5,57.5,68.0,80.0,69.0,36.0
47.0,58.0,69.0,58.0,92.0,58.0,69.0,79.0,69.0,36.0
47.5,57.5,69.0,58.0,92.0,58.0,69.0,79.5,69.0,36.0
48.0,58.0,69.5,57.5,92.0,58.0,69.5,79.5,69.5,35.5
47.5,57.5,70.0,58.0,92.0,57.5,69.5,79.5,70.0,35.0
47.5,57.5,70.0,58.0,92.0,57.5,70.0,79.0,70.0,35.0
47.5,57.5,70.0,58.0,93.0,58.0,70.0,79.0,70.0,35.0
47.5,57.5,70.0,58.0,93.0,57.5,70.0,79.0,70.0,35.5
48.0,57.5,70.0,58.0,93.5,57.5,70.0,79.0,70.0,35.5
48.0,57.5,70.0,58.0,93.0,57.0,70.0,79.0,70.0,35.5
48.5,57.5,70.0,58.0,93.0,57.0,70.0,79.0,70.0,36.0
48.5,57.5,70.0,58.0,93.0,57.0,70.0,79.0,70.0,36.0
48.5,57.5,70.0,58.0,93.0,57.0,70.0,79.0,70.0,36.0
49.0,57.0,70.0,58.0,93.0,57.0,70.0,79.0,70.0,35.0
48.5,56.5,70.0,58.0,93.0,57.0,70.0,79.0,70.0,35.0
48.5,56.5,70.0,57.0,93.0,57.0,70.0,79.0,70.5,35.0
48.5,56.5,70.0,57.0,93.0,57.0,70.0,79.0,70.0,35.0
48.5,56.5,70.0,57.0,93.0,57.0,70.0,79.0,70.0,35.0
48.5,57.0,70.0,57.0,93.0,57.0,70.0,79.0,70.0,35.0
48.0,57.0,70.0,57.0,93.0,57.0,70.0,79.0,70.0,35.5
48.0,57.0,70.0,57.0,93.0,57.0,70.0,79.0,70.0,35.0
48.0,57.0,70.0,57.0,92.5,56.5,70.0,79.0,69.0,35.0
48.0,57.0,70.0,57.0,92.0,56.0,69.5,78.5,69.0,35.0
47.0,57.0,69.0,57.0,92.0,56.0,69.0,79.0,69.0,35.0
47.5,56.5,69.0,57.0,92.0,56.5,69.0,79.0,69.0,35.0
47.5,56.5,69.0,57.0,91.5,56.5,69.0,79.0,69.0,35.0
47.0,56.0,69.0,57.0,91.5,56.5,69.0,79.0,69.0,35.0
46.5,56.5,68.0,57.0,91.5,56.5,68.5,78.5,68.0,35.0
46.0,56.0,68.0,56.0,91.0,56.0,68.0,78.0,67.0,35.0
46.0,56.0,67.5,56.5,90.0,57.0,68.0,78.0,67.0,35.0
45.5,56.5,67.5,56.5,90.0,56.0,67.5,78.5,67.0,35.0
45.5,56.5,67.5,56.5,89.5,56.5,67.0,78.0,67.0,34.0
45.0,56.5,67.0,57.0,89.5,56.5,67.0,78.5,67.0,34.0
44.0,57.0,66.5,56.5,89.0,56.0,66.5,78.5,67.0,34.0
43.5,56.5,66.0,57.0,89.0,56.0,66.0,78.0,66.0,34.0
43.0,56.0,66.0,56.5,88.0,56.0,66.0,78.0,66.0,34.0
43.0,56.0,66.0,56.0,88.0,56.0,65.5,78.0,65.0,34.5
43.0,56.0,65.0,56.0,87.5,56.0,65.0,78.0,64.5,34.0
43.0,56.0,65.0,56.0,87.5,56.0,65.0,78.0,65.0,34.0
42.0,56.5,65.0,56.0,87.0,56.0,64.0,78.0,64.5,34.0
42.0,56.5,64.0,56.0,86.0,56.0,64.0,79.0,62.5,35.0
