u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
33.0,26.5,76.0,37.0,59.5,28.0,57.0,69.0,99.5,69.5,12.5,60.0
32.0,27.0,75.0,37.0,59.0,28.0,56.0,70.0,98.0,70.0,11.5,59.5
31.0,27.0,74.0,38.0,45.5,76.5,55.5,69.5,98.0,70.0,10.5,60.0
30.0,27.0,73.0,38.0,57.0,28.0,54.5,70.0,97.0,70.0,9.5,61.0
29.5,27.5,72.5,38.5,56.0,29.0,53.5,71.0,95.5,71.0,8.5,60.5
28.0,28.0,71.5,39.0,56.0,29.0,53.0,71.0,95.0,71.0,7.5,61.0
28.0,29.0,71.0,39.0,55.0,29.0,52.0,71.0,94.0,71.0,7.0,61.0
27.0,29.0,70.0,39.0,54.0,29.5,51.5,71.5,93.5,71.5,5.5,62.5
26.0,29.0,69.0,40.0,54.0,30.0,51.0,72.0,93.0,72.0,5.5,62.5
25.5,30.5,69.5,40.5,53.0,31.0,50.0,73.0,92.0,73.0,4.0,63.0
25.5,30.5,68.0,42.0,53.0,31.0,49.5,73.5,91.0,74.0,3.0,64.0
25.0,31.0,68.0,43.0,52.0,32.0,49.0,74.0,91.0,74.0,3.5,64.5
24.0,32.0,67.5,42.5,51.0,33.0,48.5,74.5,91.0,75.0,2.0,65.0
24.0,33.0,67.0,44.0,51.0,33.0,49.0,75.0,90.0,76.0,2.0,66.0
23.0,34.0,67.0,44.0,51.0,35.0,48.0,77.0,90.0,77.0,2.0,67.0
23.5,34.5,67.0,45.0,50.5,35.0,48.0,77.0,90.0,77.0,1.0,68.0
23.0,35.0,66.5,46.5,50.5,36.0,47.0,78.0,90.0,78.0,1.0,69.0
23.0,36.0,66.0,47.0,50.0,37.0,47.5,78.5,90.0,79.0,1.0,70.0
23.0,37.0,66.5,47.0,50.0,37.0,47.5,79.5,89.5,79.5,1.0,71.0
23.0,38.0,66.5,48.5,50.0,39.0,47.0,80.0,89.0,80.0,1.0,71.0
23.0,39.0,66.5,48.5,50.0,39.0,47.0,80.0,89.5,81.0,1.0,72.0
23.5,39.5,66.5,49.5,50.0,40.0,47.0,81.5,89.0,82.0,1.0,72.5
23.0,40.0,66.5,50.5,50.0,41.0,47.0,82.0,89.5,82.5,1.0,74.0
24.0,41.0,67.0,51.0,50.0,42.0,47.0,82.0,90.0,83.0,1.0,74.0
24.0,41.0,67.0,51.5,51.0,42.0,47.0,83.0,90.0,84.0,1.0,74.5
24.0,42.0,67.0,52.0,51.0,42.0,48.0,83.0,91.0,84.5,2.0,75.0
24.0,42.0,68.0,52.0,51.0,43.0,48.0,84.0,90.5,84.5,2.0,76.0
25.0,43.0,68.0,53.0,52.0,43.0,49.0,85.0,91.0,85.0,2.0,76.0
25.0,43.0,68.0,53.0,52.0,43.5,49.0,85.0,92.0,86.0,3.0,77.0
25.5,43.5,69.0,53.5,53.0,44.0,49.5,85.5,92.5,86.0,3.0,77.0
26.0,44.0,69.0,53.0,53.0,44.0,50.0,85.5,93.0,86.0,4.0,78.0
27.0,44.0,70.0,54.0,54.0,45.0,50.5,86.0,93.0,87.0,4.0,78.0
27.0,45.0,70.5,54.0,54.0,45.0,51.0,86.0,93.5,87.0,5.0,78.0
28.0,45.0,70.5,54.5,54.0,45.0,51.0,86.0,94.0,87.0,5.0,79.0
28.0,45.0,71.0,54.5,54.0,45.5,52.0,86.0,94.0,87.0,6.0,78.0
28.0,45.0,71.0,55.0,55.0,45.5,52.0,86.0,94.0,87.0,6.0,78.0
29.0,45.0,72.0,55.0,55.0,45.0,52.0,86.5,95.0,88.0,7.5,78.5
29.0,45.0,72.0,55.0,55.0,45.0,52.5,86.5,95.0,88.0,7.5,78.5
29.5,45.0,72.0,55.0,56.0,45.0,53.0,87.0,95.0,88.0,7.5,78.5
30.0,45.0,72.0,55.0,56.0,45.0,53.0,86.5,95.0,88.0,7.5,78.5
30.0,45.0,72.5,54.5,56.0,45.0,53.0,87.0,96.0,87.0,7.5,78.5
30.0,45.0,73.0,54.5,56.5,45.0,54.0,86.0,96.0,87.0,8.0,78.0
30.0,45.0,73.0,54.0,57.0,45.0,54.0,86.0,96.0,87.0,8.0,78.0
30.0,44.0,73.0,54.0,57.0,45.0,54.0,86.0,96.0,87.0,9.0,78.0
30.0,44.0,73.0,54.0,57.0,45.0,54.0,86.0,96.0,87.0,9.0,78.0
30.0,44.0,73.0,54.0,57.0,44.0,54.0,86.0,96.0,87.0,9.0,78.0
